epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.4097,1.75867,6.40945,0.92548,0.00192,0.5575,0.0017,0.00072,1.80293,4.56249,0.87156,0.000546847,0.000546847,0.000546847
2,162.275,1.54144,3.39711,0.92702,0.92218,0.10028,0.40069,0.1953,1.81292,3.92018,0.94407,0.000993364,0.000993364,0.000993364
3,232.938,1.46758,2.24907,0.91078,0.92082,0.90991,0.95595,0.54709,1.49284,0.76146,0.85657,0.00132986,0.00132986,0.00132986
4,301.305,1.43112,1.48675,0.92424,0.91881,0.93327,0.96282,0.51585,1.51223,0.71612,0.86396,0.0011719,0.0011719,0.0011719
5,370.213,1.35042,1.15242,0.89611,0.91199,0.86283,0.94131,0.55811,1.4096,0.80194,0.86484,0.00100687,0.00100687,0.00100687
6,439.088,1.26869,0.94258,0.88183,0.93859,0.94363,0.96698,0.5665,1.31408,0.64761,0.84497,0.000841835,0.000841835,0.000841835
7,508.208,1.23258,0.81441,0.87815,0.9752,0.98282,0.98994,0.60001,1.3257,0.61959,0.83969,0.000676802,0.000676802,0.000676802
8,575.324,1.17243,0.7239,0.86551,0.95976,0.97422,0.98106,0.63164,1.22,0.53267,0.83343,0.000511769,0.000511769,0.000511769
9,643.917,1.10952,0.67759,0.86503,0.98023,0.97812,0.99319,0.68334,1.07727,0.49087,0.82217,0.000346736,0.000346736,0.000346736
10,710.963,1.04873,0.63218,0.84825,0.9752,0.97385,0.9868,0.69168,1.05816,0.51165,0.81883,0.000181703,0.000181703,0.000181703
